Serial Number,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
251,50,Yes,No,No,Borrowed the book from a library,Yes,Yes
252,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
253,50,Yes,No,No,Purchased the book,No,Yes
254,50,Yes,No,No,Purchased the book,Yes,No
255,50,Yes,No,No,Purchased the book,Yes,Yes
256,50,Yes,Yes,No,Got the book some other way,Yes,Yes
257,50,Yes,No,Yes,Purchased the book,No,No
258,50,Yes,No,Yes,Borrowed the book from a library,No,Yes
259,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
260,50,Yes,No,No,Purchased the book,Yes,No
261,50,Yes,No,No,Purchased the book,No,No
262,50,Yes,No,Yes,Purchased the book,Yes,No
263,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
264,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
265,50,Yes,Yes,Yes,Purchased the book,No,Yes
266,50,Yes,No,Yes,Purchased the book,Yes,Yes
267,50,Yes,No,No,Purchased the book,Yes,Yes
268,50,Yes,No,Yes,Purchased the book,Yes,Yes
269,50,Yes,No,Yes,Purchased the book,No,Yes
270,50,Yes,No,Yes,Purchased the book,No,No
271,50,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
272,50,No,No,Yes,Purchased the book,Yes,No
273,50,Yes,No,No,Borrowed the book from a library,Yes,Yes
274,50,Yes,No,No,Purchased the book,Yes,Yes
275,50,No,No,Yes,Purchased the book,No,Yes
276,50,Yes,No,No,Borrowed the book from a library,Yes,No
277,50,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
278,50,Yes,No,Yes,Borrowed the book from a friend or family member,No,Yes
279,50,Yes,Yes,No,Borrowed the book from a library,Yes,No
280,50,Yes,No,Yes,Purchased the book,Yes,Yes
281,50,Yes,Yes,No,Borrowed the book from a library,Yes,No
282,50,Yes,Yes,Yes,Purchased the book,Yes,No
283,50,Yes,No,Yes,Got the book some other way,No,No
284,50,Yes,No,No,Purchased the book,No,No
285,50,Yes,No,No,Purchased the book,Yes,No
286,50,Yes,No,Yes,Purchased the book,Yes,No
287,50,Yes,No,No,Purchased the book,No,No
288,50,Yes,No,Yes,Purchased the book,Yes,Yes
289,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
290,50,Yes,Yes,Yes,Purchased the book,No,No
291,50,Yes,Yes,Yes,Got the book some other way,No,Yes
292,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
293,50,Yes,No,No,Purchased the book,Yes,Yes
294,50,No,No,Yes,Borrowed the book from a library,Yes,No
295,50,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
296,50,Yes,No,No,Borrowed the book from a library,Yes,No
297,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
298,50,Yes,Yes,Yes,Purchased the book,No,Yes
299,50,Yes,Yes,Yes,Got the book some other way,Yes,No
300,50,Yes,No,Yes,Purchased the book,No,No
301,50,Yes,No,No,Purchased the book,Yes,No
302,50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
303,50,Yes,No,Yes,Purchased the book,Yes,Yes
304,50,Yes,Yes,No,Borrowed the book from a friend or family member,No,No
305,50,Yes,No,Yes,Purchased the book,Yes,Yes
306,50,Yes,No,No,Borrowed the book from a library,No,Yes
307,50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
308,50,Yes,No,Yes,Got the book some other way,Yes,No
309,50,Yes,No,No,Purchased the book,No,Yes
310,50,Yes,No,No,Got the book some other way,No,No
311,48,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
312,48,Yes,Yes,No,Purchased the book,Yes,No
313,48,Yes,No,No,Purchased the book,Yes,No
314,48,Yes,Yes,Yes,Purchased the book,Yes,No
315,48,Yes,No,No,Purchased the book,No,No
316,47,Yes,No,Yes,Got the book some other way,No,Yes
317,47,Yes,No,Yes,Got the book some other way,Yes,Yes
318,45,Yes,No,No,Purchased the book,Yes,Yes
319,45,Yes,No,Yes,Purchased the book,No,Yes
320,45,Yes,Yes,No,Purchased the book,Yes,Yes
321,45,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
